"","file","Date","Well","design_bact","design_phg","max_percap","auc"
"1","Rep1","10/27/2021","B10","7xCLD","-Phg",0.434550311665183,67398.66
"2","Rep1","10/27/2021","B11","7xCLD","-Phg",0.552123552123553,70690.95
"3","Rep1","10/27/2021","B2","PF","+Phg",0.564901349948079,17519.94
"4","Rep1","10/27/2021","B3","PF","+Phg",0.517412935323384,20352.51
"5","Rep1","10/27/2021","B4","PF","+Phg",0.507865168539327,17743.59
"6","Rep1","10/27/2021","B5","7xCLD","+Phg",0.446428571428571,31996.26
"7","Rep1","10/27/2021","B6","7xCLD","+Phg",0.425021422450728,27198.45
"8","Rep1","10/27/2021","B7","7xCLD","+Phg",0.342424242424243,31849.38
"9","Rep1","10/27/2021","B8","PF","-Phg",0.552507095553453,68698.08
"10","Rep1","10/27/2021","B9","PF","-Phg",0.543876567020251,69213.96
"11","Rep1","10/27/2021","C10","7xEGD","-Phg",0.476426799007444,59858.19
"12","Rep1","10/27/2021","C11","7xEGD","-Phg",0.398216939078752,60825.15
"13","Rep1","10/27/2021","C2","125ALE","+Phg",0.439201451905626,40943.34
"14","Rep1","10/27/2021","C3","125ALE","+Phg",0.426395939086294,44418.51
"15","Rep1","10/27/2021","C4","125ALE","+Phg",0.428057553956834,47165.58
"16","Rep1","10/27/2021","C5","7xEGD","+Phg",0.363636363636363,52170.12
"17","Rep1","10/27/2021","C6","7xEGD","+Phg",0.342449464922711,54308.34
"18","Rep1","10/27/2021","C7","7xEGD","+Phg",0.33090909090909,53170.29
"19","Rep1","10/27/2021","C8","125ALE","-Phg",0.43956043956044,54219.87
"20","Rep1","10/27/2021","C9","125ALE","-Phg",0.445182724252492,54210.24
"21","Rep1","10/27/2021","D10","7xALA","-Phg",0.467391304347826,62709.39
"22","Rep1","10/27/2021","D11","7xALA","-Phg",0.500777604976672,64882.44
"23","Rep1","10/27/2021","D2","7xEGC","+Phg",0,745.200000000001
"24","Rep1","10/27/2021","D3","7xEGC","+Phg",0.0888888888888875,782.55
"25","Rep1","10/27/2021","D4","7xEGC","+Phg",0.0888888888888875,766.35
"26","Rep1","10/27/2021","D5","7xALA","+Phg",0.398734177215189,44496
"27","Rep1","10/27/2021","D6","7xALA","+Phg",0.429437229437229,43738.38
"28","Rep1","10/27/2021","D7","7xALA","+Phg",0.408759124087591,42648.12
"29","Rep1","10/27/2021","D8","7xEGC","-Phg",0,662.400000000001
"30","Rep1","10/27/2021","D9","7xEGC","-Phg",0,662.400000000001
"31","Rep1","10/27/2021","E10","125CGA","-Phg",0.419958419958421,64272.69
"32","Rep1","10/27/2021","E11","125CGA","-Phg",0.44076222038111,69662.43
"33","Rep1","10/27/2021","E2","7xACD","+Phg",0.38209982788296,36573.57
"34","Rep1","10/27/2021","E3","7xACD","+Phg",0.379947229551451,39641.94
"35","Rep1","10/27/2021","E4","7xACD","+Phg",0.3890462700661,36385.83
"36","Rep1","10/27/2021","E5","125CGA","+Phg",0.368676368676369,65495.07
"37","Rep1","10/27/2021","E6","125CGA","+Phg",0.38572806171649,64914.66
"38","Rep1","10/27/2021","E7","125CGA","+Phg",0.421245421245421,65580.84
"39","Rep1","10/27/2021","E8","7xACD","-Phg",0.435967302452316,55536.93
"40","Rep1","10/27/2021","E9","7xACD","-Phg",0.400597907324366,59328.45
"41","Rep1","10/27/2021","F2","125ALA","+Phg",0.407443682664055,43401.87
"42","Rep1","10/27/2021","F3","125ALA","+Phg",0.424862313139261,42419.88
"43","Rep1","10/27/2021","F4","125ALA","+Phg",0.45476381104884,42716.97
"44","Rep1","10/27/2021","F8","125ALA","-Phg",0.445552784704904,55375.56
"45","Rep1","10/27/2021","F9","125ALA","-Phg",0.516605166051661,61797.78
"46","Rep1","10/27/2021","G2","125CGE","+Phg",0.431397574984046,33985.26
"47","Rep1","10/27/2021","G3","125CGE","+Phg",0.447638603696098,36236.52
"48","Rep1","10/27/2021","G4","125CGE","+Phg",0.414084507042254,38467.53
"49","Rep1","10/27/2021","G8","125CGE","-Phg",0.500517063081697,66943.98
"50","Rep1","10/27/2021","G9","125CGE","-Phg",0.536880290205562,68833.98
"51","Rep2","11/3/2021","B10","7xCLD","-Phg",0.479650360132219,66581.4897
"52","Rep2","11/3/2021","B11","7xCLD","-Phg",0.467579908675799,66272.4291
"53","Rep2","11/3/2021","B2","PF","+Phg",0.604036186499652,15760.11
"54","Rep2","11/3/2021","B3","PF","+Phg",0.536951664896786,16391.2802
"55","Rep2","11/3/2021","B4","PF","+Phg",0.5623590564026,18350.5814
"56","Rep2","11/3/2021","B5","7xCLD","+Phg",0.42875157629256,29550.8047
"57","Rep2","11/3/2021","B6","7xCLD","+Phg",0.43047830923248,32602.4366
"58","Rep2","11/3/2021","B7","7xCLD","+Phg",0.429824561403509,29953.0175
"59","Rep2","11/3/2021","B8","PF","-Phg",0.574729921513704,68220.4802
"60","Rep2","11/3/2021","B9","PF","-Phg",0.513207547169812,69898.9775
"61","Rep2","11/3/2021","C10","7xEGD","-Phg",0.403703703703702,58182.0529
"62","Rep2","11/3/2021","C11","7xEGD","-Phg",0.339754816112084,58083.0524
"63","Rep2","11/3/2021","C2","125ALE","+Phg",0.30622009569378,32004.6439
"64","Rep2","11/3/2021","C3","125ALE","+Phg",0.294848157008549,35220.0765
"65","Rep2","11/3/2021","C4","125ALE","+Phg",0.362721864874014,31584.5291
"66","Rep2","11/3/2021","C5","7xEGD","+Phg",0.371168185584093,56684.1811
"67","Rep2","11/3/2021","C6","7xEGD","+Phg",0.385113268608414,58382.2134
"68","Rep2","11/3/2021","C7","7xEGD","+Phg",0.306429548563612,57807.8326
"69","Rep2","11/3/2021","C8","125ALE","-Phg",0.304573505758342,50232.4377
"70","Rep2","11/3/2021","C9","125ALE","-Phg",0.332880154904627,51045.4089
"71","Rep2","11/3/2021","D10","7xALA","-Phg",0.438973552808413,60342.0569
"72","Rep2","11/3/2021","D11","7xALA","-Phg",0.493969908085007,61433.3104
"73","Rep2","11/3/2021","D2","7xEGC","+Phg",0.286275530731546,47770.6666
"74","Rep2","11/3/2021","D3","7xEGC","+Phg",0.369158878504674,46945.3631
"75","Rep2","11/3/2021","D4","7xEGC","+Phg",0.31021432362937,48842.5677
"76","Rep2","11/3/2021","D5","7xALA","+Phg",0.411843876177658,37378.6457
"77","Rep2","11/3/2021","D6","7xALA","+Phg",0.425392786447134,47088.6568
"78","Rep2","11/3/2021","D7","7xALA","+Phg",0.415935178933153,36571.615
"79","Rep2","11/3/2021","D8","7xEGC","-Phg",0.355555555555555,48003.6754
"80","Rep2","11/3/2021","D9","7xEGC","-Phg",0.329738058551619,49575.6183
"81","Rep2","11/3/2021","E10","125CGA","-Phg",0.444289285071255,68255.3974
"82","Rep2","11/3/2021","E11","125CGA","-Phg",0.531926185900729,70135.6811
"83","Rep2","11/3/2021","E2","7xACD","+Phg",0.397863818424566,36182.0051
"84","Rep2","11/3/2021","E3","7xACD","+Phg",0.363512108588337,41931.835
"85","Rep2","11/3/2021","E4","7xACD","+Phg",0.363636363636364,41355.8329
"86","Rep2","11/3/2021","E5","125CGA","+Phg",0.397987702627166,68414.606
"87","Rep2","11/3/2021","E6","125CGA","+Phg",0.441156691324816,66047.2478
"88","Rep2","11/3/2021","E7","125CGA","+Phg",0.446536650975119,65374.5874
"89","Rep2","11/3/2021","E8","7xACD","-Phg",0.420618556701032,57497.1579
"90","Rep2","11/3/2021","E9","7xACD","-Phg",0.438356164383562,57872.9967
"91","Rep2","11/3/2021","F2","125ALA","+Phg",0.367074527252502,33422.7816
"92","Rep2","11/3/2021","F3","125ALA","+Phg",0.388835418671799,35120.8129
"93","Rep2","11/3/2021","F4","125ALA","+Phg",0.379058979456594,51151.5233
"94","Rep2","11/3/2021","F8","125ALA","-Phg",0.429850746268657,56021.604
"95","Rep2","11/3/2021","F9","125ALA","-Phg",0.402255639097744,56489.2442
"96","Rep2","11/3/2021","G2","125CGE","+Phg",0.489439184268027,35086.8846
"97","Rep2","11/3/2021","G3","125CGE","+Phg",0.459250446162999,35277.5047
"98","Rep2","11/3/2021","G4","125CGE","+Phg",0.49528936742934,35215.4956
"99","Rep2","11/3/2021","G8","125CGE","-Phg",0.567796610169491,67073.8792
"100","Rep2","11/3/2021","G9","125CGE","-Phg",0.455757575757576,67479.4128
